code,name,level,ward
mnvanganhq9,Mầm non Vàng Anh,mn,phuongtangnhonphu
thdinhtienhoangq9,Trường Tiểu Học Đinh Tiên Hoàng,th,phuongtangnhonphu
thhiepphu,Tiểu Học Hiệp Phú,th,phuongtangnhonphu
thlevanviet,Tiểu Học Lê Văn Việt,th,phuongtangnhonphu
thphongphuq9,Tiểu Học Phong Phú,th,phuongtangnhonphu
thtanphuq9,Tiểu Học Tân Phú,th,phuongtangnhonphu
thtruongvanthanh,Tiểu Học Trương Văn Thành,th,phuongtangnhonphu
thcshiepphu,THCS Hiệp Phú,thcs,phuongtangnhonphu
thcshoaluq9,THCS Hoa Lư,thcs,phuongtangnhonphu
thcstangnhonphub,THCS Tăng Nhơn Phú B,thcs,phuongtangnhonphu
thcstanphuq9,THCS Tân Phú,thcs,phuongtangnhonphu
thtrungvuong,Trường tiểu học Trưng Vương,th,phuongtanhai
honglamq12,Mầm non Hồng Lam,mn,phuongtanhoa
mn6tanbinh,Mầm non 6,mn,phuongtanhoa
mn8tanbinh,Mầm non 8,mn,phuongtanhoa
mn9tanbinh,Mầm non 9,mn,phuongtanhoa
mnsoncatb,Mầm non Sơn Ca,mn,phuongtanhoa
thchilangtanbinh,Tiểu Học Chi Lăng,th,phuongtanhoa
thdongdatanbinh,Tiểu Học Đống Đa,th,phuongtanhoa
thhungvuongtb,Tiểu học Hùng Vương,th,phuongtanhoa
thngochoi,Tiểu Học Ngọc Hồi,th,phuongtanhoa
thtranvanontanbinh,Tiểu Học Trần Văn Ơn,th,phuongtanhoa
thcslythuongkiet-tanhoa,THCS Lý Thường Kiệt,thcs,phuongtanhoa
thcsmacdinhchitb,THCS Mạc Đĩnh Chi,thcs,phuongtanhoa
thcsnguyengiathieu,THCS Nguyễn Gia Thiều,thcs,phuongtanhoa
thcsphamngocthach,THCS Phạm Ngọc Thạch,thcs,phuongtanhoa
thcsquangtrungtanbinh,THCS Quang Trung,thcs,phuongtanhoa
thcstranvandang,THCS Trần Văn Đang,thcs,phuongtanhoa
mntanhung,Mầm non Tân Hưng,mn,phuongtanhung
mntankieng,Mầm non Tân Kiểng,mn,phuongtanhung
mntanphong,Mầm non Tân Phong,mn,phuongtanhung
mntanphong2,Mầm Non Tân Phong 2,mn,phuongtanhung
mntanquy,Mầm non Tân Quy,mn,phuongtanhung
thluongthevinhq7,Tiểu Học Lương Thế Vinh,th,phuongtanhung
thtanhungq7,Tiểu Học Tân Hưng,th,phuongtanhung
thtanquyq7,Tiểu Học Tân Quy,th,phuongtanhung
thvothisauq7,Tiểu Học Võ Thị Sáu,th,phuongtanhung
thcsnguyenhuutho,THCS Nguyễn Hữu Thọ,thcs,phuongtanhung
thcsnguyenthithap,THCS Nguyễn Thị Thập,thcs,phuongtanhung
thcstranquoctuan,THCS Trần Quốc Tuấn,thcs,phuongtanhung
thtanvinhhiepa,Trường Tiểu học Tân Vĩnh Hiệp A,th,phuongtankhanh
mgtacroi,Mẫu Giáo Tắc Rỗi,mn,phuongtanmy
mnnamsaigon,Mầm non Nam Sài Gòn,mn,phuongtanmy
mnnucuoi,Mầm non Nụ Cười,mn,phuongtanmy
mnphumy,Mầm non Phú Mỹ,mn,phuongtanmy
mntanphuq7,Mầm non Tân Phú,mn,phuongtanmy
mnvuonnang,Mầm non Vườn Nắng,mn,phuongtanmy
thdinhbolinh,Trường Tiểu học Đinh Bộ Lĩnh,th,phuongtanmy
thlevantamq7,Tiểu Học Lê Văn Tám,th,phuongtanmy
thphamhuulau,TH Phạm Hữu Lầu,th,phuongtanmy
thphumy,Tiểu Học Phú Mỹ,th,phuongtanmy
thcshoangquocviet,THCS Hoàng Quốc Việt,thcs,phuongtanmy
thcsphamhuulau,THCS Phạm Hữu Lầu,thcs,phuongtanmy
mnhuongduongtanphu,Mầm non Hướng Dương,mn,phuongtanphu
mnphuonghongtanphu,Mầm non Phượng Hồng,mn,phuongtanphu
mnquynhanh,Mầm non Quỳnh Anh,mn,phuongtanphu
thhovancuong,Tiểu Học Hồ Văn Cường,th,phuongtanphu
thhuynhvanchinh,Tiểu Học Huỳnh Văn Chính,th,phuongtanphu
thlethanhtongtanphu,Tiểu học Lê Thánh Tông,th,phuongtanphu
thtanhoa,Tiểu Học Tân Hóa,th,phuongtanphu
thcshoangdieu,THCS Hoàng Diệu,thcs,phuongtanphu
thcsnguyentraitanphu,THCS Nguyễn Trãi,thcs,phuongtanphu
thcsthoaingochau,THCS Thoại Ngọc Hầu,thcs,phuongtanphu
mn15tanbinh,Mầm non 15,mn,phuongtanson
thnguyenvankip,Tiểu Học Nguyễn Văn Kịp,th,phuongtanson
thphanhuyich,Tiểu học Phan Huy Ích,th,phuongtanson
thtantru,Tiểu Học Tân Trụ,th,phuongtanson
mn1tanbinh,Mầm non 1,mn,phuongtansonhoa
mn2tanbinh,Mầm non 2,mn,phuongtansonhoa
mn3tanbinh,Mầm non 3,mn,phuongtansonhoa
mnkimdongtanbinh,Mầm non Kim Đồng,mn,phuongtansonhoa
thbinhgia,Tiểu Học Bình Giã,th,phuongtansonhoa
thlevansi,Tiểu Học Lê Văn Sĩ,th,phuongtansonhoa
thnguyenthanhtuyentanbinh,Tiểu Học Nguyễn Thanh Tuyền,th,phuongtansonhoa
thcsngosilien,THCS Ngô Sĩ Liên,thcs,phuongtansonhoa
mgbonghongtanbinh,Mẫu Giáo Bông Hồng,mn,phuongtansonnhat
mn4tanbinh,Mầm non 4,mn,phuongtansonnhat
mn5tanbinh,Mầm non 5,mn,phuongtansonnhat
mn7tanbinh,Mầm non 7,mn,phuongtansonnhat
mntanbinh,Mầm non Quận,mn,phuongtansonnhat
mntansonnhat,Mầm non Tân Sơn Nhất,mn,phuongtansonnhat
mntuoixanh,Mầm non Tuổi Xanh,mn,phuongtansonnhat
thbanhvantran,Tiểu Học Bành Văn Trân,th,phuongtansonnhat
thhoangvanthutanbinh,Tiểu Học Hoàng Văn Thụ,th,phuongtansonnhat
thphamvanhaitanbinh,Tiểu Học Phạm Văn Hai,th,phuongtansonnhat
thtansonnhat,Tiểu Học Tân Sơn Nhất,th,phuongtansonnhat
thcsaulac,THCS Âu Lạc,thcs,phuongtansonnhat
thcstanbinh,THCS Tân Bình,thcs,phuongtansonnhat
banmaitp,Mầm non Ban Mai,mn,phuongtansonnhi
mnabctanphu,Mầm non ABC,mn,phuongtansonnhi
mnaty,Mầm Non ATY,mn,phuongtansonnhi
mncattuongtanphu,Mầm non Cát Tường,mn,phuongtansonnhi
mnhoalantanphu,Mầm non Hoa Lan,mn,phuongtansonnhi
mnmisatanphu,Mầm non Misa,mn,phuongtansonnhi
mnthuytientanphu,Mầm non Thủy Tiên,mn,phuongtansonnhi
thdinhbolinhtp,TH Đinh Bộ Lĩnh,th,phuongtansonnhi
thdoanthidiemtanphu,Tiểu Học Đoàn Thị Điểm,th,phuongtansonnhi
thtansonnhi,Tiểu Học Tân Sơn Nhì,th,phuongtansonnhi
thcsdangtrancon,THCS Đặng Trần Côn,thcs,phuongtansonnhi
thcstonthattungtanphu,THCS Tôn Thất Tùng,thcs,phuongtansonnhi
thcstranquangkhaitanphu,THCS Trần Quang Khải,thcs,phuongtansonnhi
mncatdangbt,Mầm non Cát Đằng,mn,phuongtantao
mnhongngoc,Mầm non Hồng Ngọc,mn,phuongtantao
mntantao,Mầm non Tân Tạo,mn,phuongtantao
mntantao1,Trường MN Tân Tạo 1,mn,phuongtantao
mntantaoa,MN Tân Tạo A,mn,phuongtantao
mnthientue,Mầm non Thiên Tuế,mn,phuongtantao
thbinhtan,Tiểu Học Bình Tân,th,phuongtantao
thlequydonbt,Tiểu học Lê Quý Đôn,th,phuongtantao
thtantaoa,Tiểu Học Tân Tạo A,th,phuongtantao
thcstantaoa,THCS Tân Tạo A,thcs,phuongtantao
mghoami2q12,Trường Mầm non Hoạ Mi 2,mn,phuongtanthoihiep
mnhoadao12,Mầm non Hoa Đào,mn,phuongtanthoihiep
mnhoaphonglanq12,Mầm non Hoa Phong Lan,mn,phuongtanthoihiep
mnsaomai2q12,Mầm non Sao Mai 2,mn,phuongtanthoihiep
mnsonca6,Mầm non Sơn Ca 6,mn,phuongtanthoihiep
mnvanganhq12,Mầm non Vàng Anh,mn,phuongtanthoihiep
thlevantho,Tiểu Học Lê Văn Thọ,th,phuongtanthoihiep
thnguyenthaibinhq12,Tiểu Học Nguyễn Thái Bình,th,phuongtanthoihiep
thnguyentrai,Tiểu Học Nguyễn Trãi,th,phuongtanthoihiep
thvothisauq12,Tiểu học Võ Thị Sáu,th,phuongtanthoihiep
thcsnguyenchithanh,THCS Nguyễn Chí Thanh,thcs,phuongtanthoihiep
thcsnguyenhienq12,THCS Nguyễn Hiền,thcs,phuongtanthoihiep
thcsnguyenhueq12,THCS Nguyễn Huệ,thcs,phuongtanthoihiep
mn19thang5q7,Mầm non 19-5 Quận 7,mn,phuongtanthuan
mnbinhthuanq7,Mầm non Bình Thuận,mn,phuongtanthuan
mnkhuchexuattanthuan,MN Khu chế xuất Tân Thuận,mn,phuongtanthuan
mntanthuantayq7,MN Tân Thuận Tây,mn,phuongtanthuan
thdangthuytram,Tiểu Học Đặng Thùy Trâm,th,phuongtanthuan
thkimdongq7,Tiểu Học Kim Đồng,th,phuongtanthuan
thnguyenthidinhq7,Tiểu Học Nguyễn Thị Định,th,phuongtanthuan
thcshuynhtanphat,THCS Huỳnh Tấn Phát,thcs,phuongtanthuan
thcsnguyenhienq7,THCS Nguyễn Hiền,thcs,phuongtanthuan
thtanlap-tanuyen,Trường Tiểu Học Tân Lập,th,phuongtanuyen
mnhoahongtanphu,Mầm non Hoa Hồng,mn,phuongtaythanh
mnthienantanphu,Mầm non Thiên Ân,mn,phuongtaythanh
thlelai,Tiểu Học Lê Lai,th,phuongtaythanh
thcsleloitanphu,THCS Lê Lợi,thcs,phuongtaythanh
mn21binhthanh,Mầm non 21,mn,phuongthanhmytay
mncuulong,Trường Mầm Non Cửu Long,mn,phuongthanhmytay
mnmyduc,Mầm non Mỹ Đức,mn,phuongthanhmytay
mntmt,TRƯỜNG MN THẠNH MỸ TÂY,mn,phuongthanhmytay
thcuulong,Tiểu Học Cửu Long,th,phuongthanhmytay
thdongdabinhthanh,Tiểu Học Đống Đa,th,phuongthanhmytay
thphudongtmt,Tiểu Học Phù Đổng,th,phuongthanhmytay
ththanhmytay,Tiểu Học Thạnh Mỹ Tây,th,phuongthanhmytay
thcscuulong,THCS Cửu Long,thcs,phuongthanhmytay
thcsdongda,THCS Đống Đa,thcs,phuongthanhmytay
thcsphumy,THCS Phú Mỹ,thcs,phuongthanhmytay
mnhoadoquyenq12,Mầm non Hoa Đỗ Quyên,mn,phuongthoian
mnhoami1q12,Mầm non Hoạ Mi 1,mn,phuongthoian
mnhongyen,Mầm non Hồng Yến,mn,phuongthoian
mnmaivangq12,Mầm non Mai Vàng,mn,phuongthoian
mnsonca2q12,Mầm non Sơn Ca 2,mn,phuongthoian
mnsonca9,Mầm non Sơn Ca 9,mn,phuongthoian
thkimdongq12,Tiểu Học Kim Đồng,th,phuongthoian
thnguyenvanthe,Tiểu Học Nguyễn Văn Thệ,th,phuongthoian
thquoixuan,Tiểu Học Quới Xuân,th,phuongthoian
thtranquoctoanq12,Tiểu học Trần Quốc Toản,th,phuongthoian
thcsluongthevinhq12,THCS Lương Thế Vinh,thcs,phuongthoian
thcsnguyentrungtruc,THCS Nguyễn Trung Trực,thcs,phuongthoian
thcstongocvanq12,THCS Tô Ngọc Vân,thcs,phuongthoian
mnhanhthongtay,Mầm non Hạnh Thông Tây,mn,phuongthongtayhoi
mnhuongsengovap,Mầm non Hương Sen,mn,phuongthongtayhoi
mnvanganhgovap,Mầm non Vàng Anh,mn,phuongthongtayhoi
thanhoi,Tiểu Học An Hội,th,phuongthongtayhoi
thchilanggovap,Tiểu Học Chi Lăng,th,phuongthongtayhoi
thluongthevinhgovap,Tiểu Học Lương Thế Vinh,th,phuongthongtayhoi
thnguyenthiminhkhaigovap,Tiểu học Nguyễn Thị Minh Khai,th,phuongthongtayhoi
th-thcsvietmygovap,TH-THCS Việt Mỹ,thcs,phuongthongtayhoi
thcsnguyendugovap,THCS Nguyễn Du,thcs,phuongthongtayhoi
thcsphamvanchieu,THCS Phạm Văn Chiêu,thcs,phuongthongtayhoi
thcsthongtayhoi,THCS Thông Tây Hội,thcs,phuongthongtayhoi
mamnonthuanan,Trường Mầm non Thuận An,mn,phuongthuanan
thhungdinh,Trường Tiểu học Hưng Định,th,phuongthuanan
thlytutrong-thuanan,Trường Tiểu học Lý Tự Trọng,th,phuongthuanan
ththuanan,Tiểu học Thuận An,th,phuongthuanan
thbinhchuan,Trường Tiểu học Bình Chuẩn,th,phuongthuangiao
thbinhchuan3,Trường Tiểu học Bình Chuẩn 3,th,phuongthuangiao
thbinhquoi-thuangiao,Trường TH Bình Quới,th,phuongthuangiao
ththuangiao,Trường Tiểu học Thuận Giao,th,phuongthuangiao
ththuangiao2,Trường Tiểu học Thuận Giao 2,th,phuongthuangiao
tieuhocbinhquoi,Trường Tiểu học Bình Quới,th,phuongthuangiao
mnbinhtho,Mầm non Bình Thọ,mn,phuongthuduc
mnhonganthuduc,Mầm non Hồng Ân,mn,phuongthuduc
mnsaovang,Trường Mầm non Sao Vàng,mn,phuongthuduc
mntruongtho,Mầm non Trường Thọ,mn,phuongthuduc
mnvanhkhuyenthuduc,Trường Mầm non Vành Khuyên 3,mn,phuongthuduc
thlinhchieu,Tiểu học Linh Chiểu,th,phuongthuduc
thluongthevinhthuduc,Tiểu Học Lương Thế Vinh,th,phuongthuduc
thnguyentrungtruc,Tiểu học Nguyễn Trung Trực,th,phuongthuduc
thnguyenvanbanh,Tiểu Học Nguyễn Văn Banh,th,phuongthuduc
thtuduc,Tiểu Học Từ Đức,th,phuongthuduc
thcsbinhtho,THCS Bình Thọ,thcs,phuongthuduc
thcslequydonthuduc,THCS Lê Qúy Đôn,thcs,phuongthuduc
thcslevanviet,THCS Lê Văn Việt,thcs,phuongthuduc
thcstruongtho,THCS Trường Thọ,thcs,phuongthuduc
thcstruongvanngu,THCS Trương Văn Ngư,thcs,phuongthuduc
mnsonca4q12,Mầm non Sơn Ca 4,mn,phuongtrungmytay
mnsonca5q12,Mầm non Sơn Ca 5,mn,phuongtrungmytay
thhovanthanh,Tiểu Học Hồ Văn Thanh,th,phuongtrungmytay
thquangtrung,Tiểu Học Quang Trung,th,phuongtrungmytay
thtranqgcoq12,Tiểu Học Trần Quang Cơ,th,phuongtrungmytay
thvietau,Tiểu học Việt Âu,th,phuongtrungmytay
thvovantanq12,Tiểu Học Võ Văn Tần,th,phuongtrungmytay
thcsnguyenanninh,THCS Nguyễn An Ninh,thcs,phuongtrungmytay
thcstranquangkhaiq12,THCS Trần Quang Khải,thcs,phuongtrungmytay
mnvietmy-vungtau,Trường Mầm non Việt Mỹ,mn,phuongvungtau
thvietanh-vungtau,Tiểu học Việt Anh,th,phuongvungtau
thcsvungtau,Trường THCS Vũng Tàu,thcs,phuongvungtau
mnanhduong-vuonlai,Mầm non Phường 9,mn,phuongvuonlai
mnmangnon3,Mầm non Măng Non III,mn,phuongvuonlai
mnnangxanh,Mầm non Phường 3,mn,phuongvuonlai
mnsaomai-vuonlai,Mầm non Phường 1,mn,phuongvuonlai
mntuoitho-vuonlai,Mầm non Phường 2,mn,phuongvuonlai
thdienbien,Tiểu Học Điện Biên,th,phuongvuonlai
thhothiky,Tiểu Học Hồ Thị Kỷ,th,phuongvuonlai
thnhattaoq10,Tiểu Học Nhật Tảo,th,phuongvuonlai
thtrannhantonq10,Tiểu Học Trần Nhân Tôn,th,phuongvuonlai
thtranqgcoq10,Tiểu học Trần Quang Cơ,th,phuongvuonlai
thtruongdinhq10,Tiểu Học Trương Định,th,phuongvuonlai
thcshoangvanthu,THCS Hoàng Văn Thụ,thcs,phuongvuonlai
mn12q4,Mầm non 12 Quận 4,mn,phuongxomchieu
mn15q4,Mầm non 15 Quận 4,mn,phuongxomchieu
mnbanmai,Mầm non Ban Mai,mn,phuongxomchieu
mnbcsaomai13,"Trường​ Mầm non Sao Mai 13, Phường Xóm Chiếu",mn,phuongxomchieu
mnsaomai12q4,Mầm non Sao Mai 12,mn,phuongxomchieu
thbachdangq4,Tiểu Học Bạch Đằng,th,phuongxomchieu
thbencang,Tiểu Học Bến Cảng,th,phuongxomchieu
thdinhbolinhq4,Trường Tiểu học Đinh Bộ Lĩnh,th,phuongxomchieu
thnguyenthaibinhq4,Tiểu Học NGUYỄN THÁI BÌNH,th,phuongxomchieu
thnguyentruongto,Tiểu Học Nguyễn Trường Tộ,th,phuongxomchieu
thxomchieu,Tiểu Học Xóm Chiếu,th,phuongxomchieu
thcskhanhhoi,THCS Khánh Hội,thcs,phuongxomchieu
thcstangbatho,Trường Trung Học Cơ Sở TĂNG BẠT HỔ,thcs,phuongxomchieu
thcsvandon,THCS Vân Đồn,thcs,phuongxomchieu
mgmaianhq3,TRƯỜNG MẪU GIÁO MAI ANH,mn,phuongxuanhoa
mn6q3,Mầm non 6,mn,phuongxuanhoa
mn7q3,Mầm non 7,mn,phuongxuanhoa
mn8-xuanhoa,Mầm non 8,mn,phuongxuanhoa
mnhoamaiq3,Mầm non Hoa Mai,mn,phuongxuanhoa
mnsuongmaiq3,Mầm non Sương Mai,mn,phuongxuanhoa
mnthienphuoc,Mầm non tư thục Thiên Phước,mn,phuongxuanhoa
mntreemtoancaumgk,Mầm non Trẻ Em Toàn Cầu,mn,phuongxuanhoa
mntuoitho7,Mầm non Tuổi Thơ 7,mn,phuongxuanhoa
mntuoitho8,Mầm Non Tuổi Thơ 8,mn,phuongxuanhoa
mnxuanhoa,Mầm non Xuân Hòa,mn,phuongxuanhoa
thmelinh,Tiểu Học Mê Linh,th,phuongxuanhoa
thnguyenthaison,Tiểu Học Nguyễn Thái Sơn,th,phuongxuanhoa
thnguyenthanhtuyenq3,Tiểu Học Nguyễn Thanh Tuyền,th,phuongxuanhoa
thtranquocthao,Tiểu Học Trần Quốc Thảo,th,phuongxuanhoa
thcscolette,THCS Colette,thcs,phuongxuanhoa
thcshaibatrungq3,THCS Hai Bà Trưng,thcs,phuongxuanhoa
thcsleloiq3,THCS Lê Lợi,thcs,phuongxuanhoa
thcslequydonq3,THCS Lê Quý Đôn Quận 3,thcs,phuongxuanhoa
mnannhontay,Mầm non An Nhơn Tây,mn,xaannhontay
mnanphucuchi,Mầm non An Phú,mn,xaannhontay
mnhoangminhdao,Mầm non Hoàng Minh Đạo,mn,xaannhontay
thannhondong,Tiểu Học An Nhơn Đông,th,xaannhontay
thannhontay,Tiểu Học An Nhơn Tây,th,xaannhontay
thanphu1,Tiểu Học An Phú 1,th,xaannhontay
thanphu2,Tiểu Học An Phú 2,th,xaannhontay
thphumyhung,Tiểu Học Phú Mỹ Hưng,th,xaannhontay
thcsannhontay,THCS An Nhơn Tây,thcs,xaannhontay
thcsanphucuchi,THCS An Phú,thcs,xaannhontay
thcsphumyhung,THCS Phú Mỹ Hưng,thcs,xaannhontay
mganthoidong,Mầm Non An Thới Đông,mn,xaanthoidong
mglynhon,MẦM NON LÝ NHƠN,mn,xaanthoidong
mndoilau,Mầm non Doi Lầu,mn,xaanthoidong
thanthoidong,Tiểu Học An Thới Đông,th,xaanthoidong
thdoilau,Tiểu Học Doi Lầu,th,xaanthoidong
thlynhoncangio,Tiểu học Lý Nhơn,th,xaanthoidong
thvamsat,Tiểu Học Vàm Sát,th,xaanthoidong
thcsanthoidong,THCS An Thới Đông,thcs,xaanthoidong
thcsdoilau,THCS Doi Lầu,thcs,xaanthoidong
thcslynhon,THCS Lý Nhơn,thcs,xaanthoidong
mgbongsen1,Trường Mẫu Giáo Bông Sen 1,mn,xabadiem
mnbadiem,Mầm non Bà Điểm,mn,xabadiem
mnbengoan3,Mầm non Bé Ngoan 3,mn,xabadiem
mnkhaitri,Mầm non Khai Trí,mn,xabadiem
mnthienduc,Mầm non tư thục Thiên Đức,mn,xabadiem
mnxuanthoithuong,Mầm non Xuân Thới Thượng,mn,xabadiem
thbuivanngu,Tiểu Học Bùi Văn Ngữ,th,xabadiem
thmyhue,Tiểu Học Mỹ Huề,th,xabadiem
thnamkykhoinghia,Tiểu Học Nam Kỳ Khởi Nghĩa,th,xabadiem
thngabagiong,Tiểu Học Ngã Ba Giòng,th,xabadiem
thtaybaclan,Tiểu Học Tây Bắc Lân,th,xabadiem
thxuanthoithuong,Tiểu Học Xuân Thới Thượng,th,xabadiem
thcsbuivanthu,THCS Bùi Văn Thủ,thcs,xabadiem
thcshahuytaphm,THCS Trung Mỹ Tây 1,thcs,xabadiem
thcsnguyenvanbua,THCS Nguyễn Văn Bứa,thcs,xabadiem
thcsphanconghon,THCS Phan Công Hớn,thcs,xabadiem
thcsxuanthoithuong,THCS Xuân Thới Thượng,thcs,xabadiem
thlaiuyen,Trường Tiểu học Lai Uyên,th,xabaubang
mgtamthonhiep,Mầm non Tam Thôn Hiệp,mn,xabinhkhanh
mnbinhancangio,Mầm non Bình An,mn,xabinhkhanh
mnbinhkhanh,Mầm Non Bình Khánh,mn,xabinhkhanh
thannghia,Tiểu Học An Nghĩa,th,xabinhkhanh
thbinhkhanh,Tiểu Học Bình Khánh,th,xabinhkhanh
thbinhmy,Tiểu Học Bình Mỹ,th,xabinhkhanh
thbinhphuoc,Tiểu Học Bình Phước,th,xabinhkhanh
thbinhthanh,Tiểu Học Bình Thạnh,th,xabinhkhanh
thtamthonhiep,Tiểu Học Tam Thôn Hiệp,th,xabinhkhanh
thcsbinhkhanh,THCS Bình Khánh,thcs,xabinhkhanh
thcstamthonhiep,THCS Tam Thôn Hiệp,thcs,xabinhkhanh
mnbinhmy,Mầm non Bình Mỹ,mn,xabinhmy
mnhoaphu,Mầm non Hòa Phú,mn,xabinhmy
mntrungan1,Mầm non Trung An 1,mn,xabinhmy
mntrungan2,Mầm non Trung An 2,mn,xabinhmy
mntuoingoccuchi,Mầm non Tuổi Ngọc,mn,xabinhmy
thbinhmy2,Tiểu Học Bình Mỹ 2,th,xabinhmy
thbinhmycuchi,Tiểu Học Bình Mỹ,th,xabinhmy
thhoaphu,Tiểu học Hòa Phú,th,xabinhmy
thtrungan,Tiểu học Trung An,th,xabinhmy
thcsbinhhoa,THCS Bình Hòa,thcs,xabinhmy
thcshoaphu,THCS Hòa Phú,thcs,xabinhmy
thcstrungan,THCS Trung An,thcs,xabinhmy
dongtranhcg,Mầm non Đồng Tranh,mn,xacangio
mglonghoa,Mẫu Giáo Long Hoà,mn,xacangio
mncanthanh,Mầm non Cần Thạnh,mn,xacangio
mncanthanh2,Trường Mầm Non Cần Thạnh 2,mn,xacangio
thcanthanh,Tiểu Học Cần Thạnh,th,xacangio
thcanthanh2,Tiểu học Cần Thạnh 2,th,xacangio
thdonghoa,Tiểu Học Đồng Hòa,th,xacangio
thhoahiep,Tiểu Học Hoà Hiệp,th,xacangio
thlongthanh,Tiểu Học Long Thạnh,th,xacangio
thcscanthanh,THCS Cần Thạnh,thcs,xacangio
thcslonghoa,THCS Long Hoà,thcs,xacangio
thcstoctien-chaupha,Trường THCS Tóc Tiên,thcs,xachaupha
mnphuocvinhan,Mầm non Phước Vĩnh An,mn,xacuchi
mntanphutrung1,Mầm non Tân Phú Trung 1,mn,xacuchi
mntanphutrung2,Mầm non Tân Phú Trung 2,mn,xacuchi
mntanthonghoi1,Mầm non Tân Thông Hội 1,mn,xacuchi
mntanthonghoi2,Mầm non Tân Thông Hội 2,mn,xacuchi
mntanthonghoi3,Mầm non Tân Thông Hội 3,mn,xacuchi
mntanthonghoi4,Mầm non Tân Thông Hội 4,mn,xacuchi
mnttthanhdanh,Mầm non tư thục Thành Danh,mn,xacuchi
thnguyenthilang,Tiểu học Nguyễn Thị Lắng,th,xacuchi
thphanvankhai,Tiểu học Phan Văn Khải,th,xacuchi
thphuocvinhan,Tiểu Học Phước Vĩnh An,th,xacuchi
thtanphucuchi,Tiểu Học Tân Phú,th,xacuchi
thtanphutrung,Tiểu Học Tân Phú Trung,th,xacuchi
thtanthonghoi,Tiểu Học Tân Thông Hội,th,xacuchi
thtantien,Tiểu học Tân Tiến,th,xacuchi
thtranvancham,Tiểu Học Trần Văn Chẩm,th,xacuchi
thcscuchi,THCS Tân Phú Trung,thcs,xacuchi
thcsphuocvinhan,THCS Phước Vĩnh An,thcs,xacuchi
thcstanthonghoi,THCS Tân Thông Hội,thcs,xacuchi
thcstantien,THCS Tân Tiến,thcs,xacuchi
thcsthitrancuchi,TRƯỜNG THCS THỊ TRẤN,thcs,xacuchi
ththanhan,Tiểu Học Thạnh An,th,xadaothanhan
mgsonca3,Mầm non Sơn Ca 3,mn,xadongthanh
mn2thang9hocmon,Mầm non 2 tháng 9,mn,xadongthanh
mnbongsenhocmon,Mầm non Bông Sen,mn,xadongthanh
mnsoncahocmon,Mầm non Sơn Ca,mn,xadongthanh
th-thcstrinhthidoi,Tiểu Học Tam Đông,th,xadongthanh
thhoanghoatham,Tiểu Học Hoàng Hoa Thám,th,xadongthanh
thnguyenthinuoi,Tiểu Học Nguyễn Thị Nuôi,th,xadongthanh
thtamdong2,Tiểu học Tam Đông 2,th,xadongthanh
ththoitam,Tiểu Học Thới Tam,th,xadongthanh
ththoithanh,Tiểu Học Thới Thạnh,th,xadongthanh
thtranvandanh,Tiểu Học Trần Văn Danh,th,xadongthanh
thvovanthang,Tiểu Học Võ Văn Thặng,th,xadongthanh
thcsdangcongbinh,THCS Đặng Công Bỉnh,thcs,xadongthanh
thcsdangthucvinh,THCS Đặng Thúc Vịnh,thcs,xadongthanh
thcsdongthanh,THCS Đông Thạnh,thcs,xadongthanh
thcsphandangluu-tamdong,THCS Tam Đông 1,thcs,xadongthanh
mndongxanh,Mầm non Đồng Xanh,mn,xahiepphuoc
mnhuongduongnhabe,Mầm non Hướng Dương,mn,xahiepphuoc
mnsaomainhabe,Mầm non Sao Mai,mn,xahiepphuoc
mntuoihoanb,Mầm non Tuổi Hoa,mn,xahiepphuoc
thduongvanlich,Tiểu Học Dương Văn Lịch,th,xahiepphuoc
thleloinhabe,Tiểu Học Lê Lợi,th,xahiepphuoc
thlevanluong,Tiểu học Lê Văn Lương,th,xahiepphuoc
thnguyenvantao,Tiểu học Nguyễn Văn Tạo,th,xahiepphuoc
thtrangtankhuong,Tiểu Học Trang Tấn Khương,th,xahiepphuoc
thcshaibatrungnhabe,THCS Hai Bà Trưng,thcs,xahiepphuoc
thcshiepphuoc,THCS Hiệp Phước,thcs,xahiepphuoc
mn23thang11hocmon,Mầm non 23 tháng 11,mn,xahocmon
mnbengoan1,TRƯỜNG MẦM NON BÉ NGOAN 1,mn,xahocmon
mnbengoanhocmon,Mầm non Bé Ngoan,mn,xahocmon
mnminhduc,Mầm non Minh Đức,mn,xahocmon
mnmyhoa,Mầm non Mỹ Hòa,mn,xahocmon
mntanhiep,Mầm non Tân Hiệp,mn,xahocmon
mntanhoa,Mầm non Tân Hòa,mn,xahocmon
mntanxuan,Mầm non Tân Xuân,mn,xahocmon
thapdinh,Tiểu Học Ấp Đình,th,xahocmon
thcauxanghocmon,Tiểu Học Cầu Xáng,th,xahocmon
thmyhoa,Tiểu Học Mỹ Hòa,th,xahocmon
thnguyenanninh,Tiểu Học Nguyễn An Ninh,th,xahocmon
thtanhiep,Tiểu Học Tân Hiệp,th,xahocmon
thtruongvanngai,Tiểu Học Trương Văn Ngài,th,xahocmon
thcsdovanday,THCS Đỗ Văn Dậy,thcs,xahocmon
thcsnguyenankhuong,THCS Nguyễn An Khương,thcs,xahocmon
thcsnguyenthiminhkhai,THCS Thị Trấn,thcs,xahocmon
thcstoky,THCS Tô Ký,thcs,xahocmon
mndaphuocbc,Mầm non Đa Phước,mn,xahunglong
