code,name,level,ward
thbinhtien,Tiểu Học Bình Tiên,th,phuongbinhtay
thchauvanliem,Tiểu Học Châu Văn Liêm,th,phuongbinhtay
thchilangphuongbinhtay,Trường Tiểu học Chi Lăng,th,phuongbinhtay
thchilangq6,Tiểu Học Chi Lăng,th,phuongbinhtay
thlevantamq6,Tiểu Học Lê Văn Tám,th,phuongbinhtay
thnguyenthienthuatq6,Tiểu Học Nguyễn Thiện Thuật,th,phuongbinhtay
thvovantanq6,Tiểu Học Võ Văn Tần,th,phuongbinhtay
thcshaugiang,THCS Hậu Giang,thcs,phuongbinhtay
thcshoanglekha,THCS Hoàng Lê Kha,thcs,phuongbinhtay
thcsnguyenduccanh,THCS Nguyễn Đức Cảnh,thcs,phuongbinhtay
mgvietanh,Mẫu Giáo Việt Anh,mn,phuongbinhthanh
mn12binhthanh,Mầm non 12,mn,phuongbinhthanh
mn14binhthanh,Mầm non 14,mn,phuongbinhthanh
mn24abinhthanh,Mầm non 24A,mn,phuongbinhthanh
mn24bbinhthanh,Mầm non 24B,mn,phuongbinhthanh
mn26binhthanh,Mầm non 26,mn,phuongbinhthanh
thbachdangbinhthanh,Tiểu Học Bạch Đằng,th,phuongbinhthanh
thbinhhoa,Tiểu Học Bình Hoà,th,phuongbinhthanh
thchuvanan,Tiểu Học Chu Văn An,th,phuongbinhthanh
thnguyendinhchieu,Tiểu Học Nguyễn Đình Chiểu,th,phuongbinhthanh
thtamvu,Tiểu Học Tầm Vu,th,phuongbinhthanh
thtranquangvinh,Tiểu Học Trần Quang Vinh,th,phuongbinhthanh
thcslevantam,THCS Lê Văn Tám,thcs,phuongbinhthanh
thcsrangdong,THCS Rạng Đông,thcs,phuongbinhthanh
mnbengoan-binhthoi,Mầm non Bé Ngoan,mn,phuongbinhthoi
mnhoamai-binhthoi,Trường Mầm non Hoa Mai,mn,phuongbinhthoi
mnhoasen-binhthoi,Mầm non Phường 3,mn,phuongbinhthoi
mntuoihong-binhthoi,Mầm non Quận 11,mn,phuongbinhthoi
