code,name,level,ward,status,menu_posts_total,menu_posts_this_year,weeks_with_posts,last_menu_date,last_menu_url,error
thluongthevinhthuduc,Tiểu Học Lương Thế Vinh,th,phuongthuduc,stale,2,0,0,2023-01-30,https://thluongthevinhthuduc.hcm.edu.vn/y-te-hoc-duong/thuc-hien-du-an-bua-an-hoc-duong-tai-truong-tieu-hoc-luong-the-vinh/ct/78976/1098836,
thnguyentrungtruc,Tiểu học Nguyễn Trung Trực,th,phuongthuduc,regular,9,4,3,2026-09-20,http://thnguyentrungtruc.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-tuan-3-tu-ngay-2192026-den-ngay-2592026/ct/141885/1410961,
thnguyenvanbanh,Tiểu Học Nguyễn Văn Banh,th,phuongthuduc,none,0,0,0,,,
thtuduc,Tiểu Học Từ Đức,th,phuongthuduc,regular,30,3,2,2026-09-24,https://thtuduc.hcm.edu.vn/thuc-don-ban-tru/thuc-don-tuan-4-2892026-02102026/ct/84524/1412250,
thcsbinhtho,THCS Bình Thọ,thcs,phuongthuduc,regular,27,17,3,2026-09-24,https://thcsbinhtho.hcm.edu.vn/thuc-don/bang-thuc-don-tuan-tu-ngay-28092026-den-ngay-02102026/ct/107389/762359,
thcslequydonthuduc,THCS Lê Qúy Đôn,thcs,phuongthuduc,none,0,0,0,,,
thcslevanviet,THCS Lê Văn Việt,thcs,phuongthuduc,none,0,0,0,,,
thcstruongtho,THCS Trường Thọ,thcs,phuongthuduc,regular,16,3,3,2026-09-21,https://thcstruongtho.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-tuan-04-2109-25092026-truong-thcs-truong-tho/ct/107724/760405,
thcstruongvanngu,THCS Trương Văn Ngư,thcs,phuongthuduc,stale,10,0,0,2024-12-06,https://thcstruongvanngu.hcm.edu.vn/thuc-don-ban-tru/td-tuan-2-t12-dang-web/ct/107409/682454,
mnsonca4q12,Mầm non Sơn Ca 4,mn,phuongtrungmytay,stale,15,0,0,2026-05-18,https://mnsonca4q12.hcm.edu.vn/thuc-don-tuan/thuc-don-tuan-tu-1852026-den-2252026/ct/110157/868168,
mnsonca5q12,Mầm non Sơn Ca 5,mn,phuongtrungmytay,regular,16,3,3,2026-09-21,https://mnsonca5q12.hcm.edu.vn/suc-khoe-dinh-duong/thuc-don-cua-be-tu-ngay-2192026-den-ngay-2592026/ct/30121/888440,
thhovanthanh,Tiểu Học Hồ Văn Thanh,th,phuongtrungmytay,none,0,0,0,,,
thquangtrung,Tiểu Học Quang Trung,th,phuongtrungmytay,none,0,0,0,,,
thtranqgcoq12,Tiểu Học Trần Quang Cơ,th,phuongtrungmytay,none,0,0,0,,,
thvietau,Tiểu học Việt Âu,th,phuongtrungmytay,none,0,0,0,,,
thvovantanq12,Tiểu Học Võ Văn Tần,th,phuongtrungmytay,none,0,0,0,,,
thcsnguyenanninh,THCS Nguyễn An Ninh,thcs,phuongtrungmytay,none,0,0,0,,,
thcstranquangkhaiq12,THCS Trần Quang Khải,thcs,phuongtrungmytay,none,0,0,0,,,
mnvietmy-vungtau,Trường Mầm non Việt Mỹ,mn,phuongvungtau,none,0,0,0,,,
thvietanh-vungtau,Tiểu học Việt Anh,th,phuongvungtau,none,0,0,0,,,
thcsvungtau,Trường THCS Vũng Tàu,thcs,phuongvungtau,none,0,0,0,,,
mnanhduong-vuonlai,Mầm non Phường 9,mn,phuongvuonlai,stale,15,0,0,2026-05-25,https://mnanhduong-vuonlai.hcm.edu.vn/thuc-don-cua-be/thuc-don-tuan-tu-ngay-2552026-den-ngay-2852026/ct/69853/870628,
mnmangnon3,Mầm non Măng Non III,mn,phuongvuonlai,stale,18,0,0,2026-08-20,https://mnmangnon3.hcm.edu.vn/thang-9-nam-2025/thuc-don-nha-tre-thang-9-nam-2025/ct/111030/883938,
mnnangxanh,Mầm non Phường 3,mn,phuongvuonlai,stale,25,0,0,2026-08-12,https://mnnangxanh.hcm.edu.vn/thong-tin-ve-ket-qua-thuc-hien-nuoi-duong-cham-soc-giao-duc-tre-em/thuc-don-tuan-cua-tre-tu-ngay-1082026-den-ngay-1482026/ct/110601/883207,
mnsaomai-vuonlai,Mầm non Phường 1,mn,phuongvuonlai,stale,48,0,0,2026-07-19,https://mnsaomai-vuonlai.hcm.edu.vn/thuc-don-cua-be/thuc-don-tuan-cua-be-tu-ngay-2072026-den-2472026/ct/99948/880159,
mntuoitho-vuonlai,Mầm non Phường 2,mn,phuongvuonlai,stale,15,0,0,2026-05-21,https://mntuoitho-vuonlai.hcm.edu.vn/thuc-don/thuc-don-tuan-tu-ngay-2552026-2952026/ct/88491/869659,
thdienbien,Tiểu Học Điện Biên,th,phuongvuonlai,stale,36,0,0,2026-03-23,https://thdienbien.hcm.edu.vn/nam-hoc-2025-2026/thuc-don-tuan-27-tuan-le-tu-ngay-2332026-den-ngay-2732026/ct/141837/1369149,
thhothiky,Tiểu Học Hồ Thị Kỷ,th,phuongvuonlai,none,0,0,0,,,
thnhattaoq10,Tiểu Học Nhật Tảo,th,phuongvuonlai,stale,12,0,0,2026-02-25,https://thnhattaoq10.hcm.edu.vn/chuyen-de-giao-duc/thuc-don-ban-tru-tuan-23-tu-ngay-2302-27022026/ct/31504/1368605,
thtrannhantonq10,Tiểu Học Trần Nhân Tôn,th,phuongvuonlai,stale,1,0,0,2026-04-10,https://thtrannhantonq10.hcm.edu.vn/hoat-dong-chuyen-mon/truong-tieu-hoc-tran-nhan-ton-to-chuc-hoat-dong-bua-an-am-ap-cung-con-nam-hoc-2/ct/31647/1381380,
thtranqgcoq10,Tiểu học Trần Quang Cơ,th,phuongvuonlai,stale,13,0,0,2024-11-26,https://thtranqgcoq10.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-sang-va-trua-thang-12-nam-hoc-2024-2025/ct/139933/1257599,
thtruongdinhq10,Tiểu Học Trương Định,th,phuongvuonlai,regular,4,4,2,2026-09-24,http://thtruongdinhq10.hcm.edu.vn/thuc-don/thuc-don-thu-5-ngay-2492026/ct/148109/1412210,
thcshoangvanthu,THCS Hoàng Văn Thụ,thcs,phuongvuonlai,regular,9,3,3,2026-09-21,https://thcshoangvanthu.hcm.edu.vn/bieu-mau/thuc-don-ban-tru-tu-2109-den-25092026/ct/94128/760409,
mn12q4,Mầm non 12 Quận 4,mn,phuongxomchieu,regular,13,3,2,2026-09-18,https://mn12q4.hcm.edu.vn/suc-khoe-dinh-duong/thuc-don-tuan-3-tu-ngay-2192026-den-ngay-2592026/ct/28195/887994,
mn15q4,Mầm non 15 Quận 4,mn,phuongxomchieu,none,0,0,0,,,
mnbanmai,Mầm non Ban Mai,mn,phuongxomchieu,regular,15,3,2,2026-09-22,https://mnbanmai.hcm.edu.vn/thuc-don/kinh-moi-quy-phu-huynh-cung-theo-doi-thuc-don-tuan-cua-be-tu-ngay-2109-den-2509/ct/101817/888854,
mnbcsaomai13,"Trường​ Mầm non Sao Mai 13, Phường Xóm Chiếu",mn,phuongxomchieu,none,0,0,0,,,
mnsaomai12q4,Mầm non Sao Mai 12,mn,phuongxomchieu,stale,11,0,0,2026-06-12,https://mnsaomai12q4.hcm.edu.vn/cong-khai-vbpl-thong-bao/thuc-don-thang-62026/ct/15918/874105,
thbachdangq4,Tiểu Học Bạch Đằng,th,phuongxomchieu,stale,1,0,0,2025-09-06,https://thbachdangq4.hcm.edu.vn/cong-khai-khac-theo-quy-dinh/quyet-dinh-phe-duyet-kq-lcnt-trong-truong-hop-dac-biet-goi-thau-cung-cap-bua-an/ct/138249/1317880,
thbencang,Tiểu Học Bến Cảng,th,phuongxomchieu,none,0,0,0,,,
thdinhbolinhq4,Trường Tiểu học Đinh Bộ Lĩnh,th,phuongxomchieu,none,0,0,0,,,
thnguyenthaibinhq4,Tiểu Học NGUYỄN THÁI BÌNH,th,phuongxomchieu,active,2,1,1,2026-09-16,http://thnguyenthaibinhq4.hcm.edu.vn/nam-hoc-2026-2027/cv-127-ve-viec-yeu-cau-gui-bao-gia-suat-an-bt-nuoc-uong-tbbt-nh-26-27/ct/147987/1410275,
thnguyentruongto,Tiểu Học Nguyễn Trường Tộ,th,phuongxomchieu,stale,15,0,0,2021-05-03,http://thnguyentruongto.hcm.edu.vn/cong-tac-ban-tru/thuc-don-thang-52021/ct/79612/881403,
thxomchieu,Tiểu Học Xóm Chiếu,th,phuongxomchieu,stale,15,0,0,2026-01-03,https://thxomchieu.hcm.edu.vn/thong-tin-ban-tru/thuc-don-tuan-18-tu-ngay-05012026-den-ngay-09012026/ct/21621/1352309,
thcskhanhhoi,THCS Khánh Hội,thcs,phuongxomchieu,stale,2,0,0,2026-05-07,https://thcskhanhhoi.hcm.edu.vn/tin-tuc-su-kien/thuc-don-thang-52026/ct/12020/749633,
thcstangbatho,Trường Trung Học Cơ Sở TĂNG BẠT HỔ,thcs,phuongxomchieu,stale,1,0,0,2025-09-03,https://thcstangbatho.hcm.edu.vn/cong-khai/cong-khai-ket-qua-lua-chon-nha-thau-du-toan-mua-sam-dich-vu-cung-cap-suat-an-ba/ct/110322/736917,
thcsvandon,THCS Vân Đồn,thcs,phuongxomchieu,none,0,0,0,,,
mgmaianhq3,TRƯỜNG MẪU GIÁO MAI ANH,mn,phuongxuanhoa,stale,6,0,0,2025-12-25,https://mgmaianhq3.hcm.edu.vn/giao-duc-ky-nang-song/kns-phep-lich-su-trong-bua-an/ct/27926/822083,
mn6q3,Mầm non 6,mn,phuongxuanhoa,regular,18,4,2,2026-09-15,https://mn6q3.hcm.edu.vn/thuc-don/mn6pxhthuc-don-nhom-19-72-thang-tuan-2-thang-92026/ct/47496/887440,
